title,url,seoName,companyid
Reliance Industries Ltd.,/reliance-industries-ltd/stocks/companyid-13215.cms,reliance-industries-ltd,13215
Indian Oil Corporation Ltd.,/indian-oil-corporation-ltd/stocks/companyid-11924.cms,indian-oil-corporation-ltd,11924
Oil And Natural Gas Corporation Ltd.,/oil-and-natural-gas-corporation-ltd/stocks/companyid-11599.cms,oil-and-natural-gas-corporation-ltd,11599
State Bank of India,/state-bank-of-india/stocks/companyid-11984.cms,state-bank-of-india,11984
Bharat Petroleum Corporation Ltd.,/bharat-petroleum-corporation-ltd/stocks/companyid-11941.cms,bharat-petroleum-corporation-ltd,11941
Hindustan Petroleum Corporation Ltd.,/hindustan-petroleum-corporation-ltd/stocks/companyid-12078.cms,hindustan-petroleum-corporation-ltd,12078
Tata Motors Ltd.,/tata-motors-ltd/stocks/companyid-12934.cms,tata-motors-ltd,12934
Rajesh Exports Ltd.,/rajesh-exports-ltd/stocks/companyid-6650.cms,rajesh-exports-ltd,6650
Tata Consultancy Services Ltd.,/tata-consultancy-services-ltd/stocks/companyid-8345.cms,tata-consultancy-services-ltd,8345
ICICI Bank Ltd.,/icici-bank-ltd/stocks/companyid-9194.cms,icici-bank-ltd,9194
Larsen & Toubro Ltd.,/larsen-toubro-ltd/stocks/companyid-13447.cms,larsen-toubro-ltd,13447
HDFC Bank Ltd.,/hdfc-bank-ltd/stocks/companyid-9195.cms,hdfc-bank-ltd,9195
Tata Steel Ltd.,/tata-steel-ltd/stocks/companyid-12902.cms,tata-steel-ltd,12902
Hindalco Industries Ltd.,/hindalco-industries-ltd/stocks/companyid-13637.cms,hindalco-industries-ltd,13637
NTPC Ltd.,/ntpc-ltd/stocks/companyid-12316.cms,ntpc-ltd,12316
Housing Development Finance Corporation Ltd.,/housing-development-finance-corporation-ltd/stocks/companyid-13640.cms,housing-development-finance-corporation-ltd,13640
Coal India Ltd.,/coal-india-ltd/stocks/companyid-11822.cms,coal-india-ltd,11822
Mahindra & Mahindra Ltd.,/mahindra-mahindra-ltd/stocks/companyid-11898.cms,mahindra-mahindra-ltd,11898
Infosys Ltd.,/infosys-ltd/stocks/companyid-10960.cms,infosys-ltd,10960
Bank of Baroda,/bank-of-baroda/stocks/companyid-12040.cms,bank-of-baroda,12040
Bharti Airtel Ltd.,/bharti-airtel-ltd/stocks/companyid-2718.cms,bharti-airtel-ltd,2718
Vedanta Ltd.,/vedanta-ltd/stocks/companyid-13111.cms,vedanta-ltd,13111
Axis Bank Ltd.,/axis-bank-ltd/stocks/companyid-9175.cms,axis-bank-ltd,9175
Grasim Industries Ltd.,/grasim-industries-ltd/stocks/companyid-13696.cms,grasim-industries-ltd,13696
Maruti Suzuki India Ltd.,/maruti-suzuki-india-ltd/stocks/companyid-11890.cms,maruti-suzuki-india-ltd,11890
GAIL (India) Ltd.,/gail-india-ltd/stocks/companyid-4845.cms,gail-india-ltd,4845
JSW Steel Ltd.,/jsw-steel-ltd/stocks/companyid-8352.cms,jsw-steel-ltd,8352
HCL Technologies Ltd.,/hcl-technologies-ltd/stocks/companyid-4291.cms,hcl-technologies-ltd,4291
Punjab National Bank,/punjab-national-bank/stocks/companyid-11585.cms,punjab-national-bank,11585
Wipro Ltd.,/wipro-ltd/stocks/companyid-12799.cms,wipro-ltd,12799
Motherson Sumi Systems Ltd.,/motherson-sumi-systems-ltd/stocks/companyid-10878.cms,motherson-sumi-systems-ltd,10878
Steel Authority of India (SAIL) Ltd.,/steel-authority-of-india-sail-ltd/stocks/companyid-11974.cms,steel-authority-of-india-sail-ltd,11974
Power Finance Corporation Ltd.,/power-finance-corporation-ltd/stocks/companyid-4519.cms,power-finance-corporation-ltd,4519
Canara Bank,/canara-bank/stocks/companyid-9218.cms,canara-bank,9218
Bajaj Finserv Ltd.,/bajaj-finserv-ltd/stocks/companyid-21426.cms,bajaj-finserv-ltd,21426
ITC Ltd.,/itc-ltd/stocks/companyid-13554.cms,itc-ltd,13554
General Insurance Corporation of India,/general-insurance-corporation-of-india/stocks/companyid-12266.cms,general-insurance-corporation-of-india,12266
Redington (India) Ltd.,/redington-india-ltd/stocks/companyid-18903.cms,redington-india-ltd,18903
Kotak Mahindra Bank Ltd.,/kotak-mahindra-bank-ltd/stocks/companyid-12161.cms,kotak-mahindra-bank-ltd,12161
Mangalore Refinery And Petrochemicals Ltd.,/mangalore-refinery-and-petrochemicals-ltd/stocks/companyid-11391.cms,mangalore-refinery-and-petrochemicals-ltd,11391
Bank of India,/bank-of-india/stocks/companyid-11964.cms,bank-of-india,11964
Vodafone Idea Ltd.,/vodafone-idea-ltd/stocks/companyid-3154.cms,vodafone-idea-ltd,3154
Adani Enterprises Ltd.,/adani-enterprises-ltd/stocks/companyid-9074.cms,adani-enterprises-ltd,9074
Jindal Steel & Power Ltd.,/jindal-steel-power-ltd/stocks/companyid-4355.cms,jindal-steel-power-ltd,4355
SBI Life Insurance Company Ltd.,/sbi-life-insurance-company-ltd/stocks/companyid-2898.cms,sbi-life-insurance-company-ltd,2898
Union Bank of India,/union-bank-of-india/stocks/companyid-12261.cms,union-bank-of-india,12261
UltraTech Cement Ltd.,/ultratech-cement-ltd/stocks/companyid-3027.cms,ultratech-cement-ltd,3027
Power Grid Corporation of India Ltd.,/power-grid-corporation-of-india-ltd/stocks/companyid-4628.cms,power-grid-corporation-of-india-ltd,4628
Hindustan Unilever Ltd.,/hindustan-unilever-ltd/stocks/companyid-13616.cms,hindustan-unilever-ltd,13616
Tech Mahindra Ltd.,/tech-mahindra-ltd/stocks/companyid-11221.cms,tech-mahindra-ltd,11221
YES Bank Ltd.,/yes-bank-ltd/stocks/companyid-16552.cms,yes-bank-ltd,16552
Chennai Petroleum Corporation Ltd.,/chennai-petroleum-corporation-ltd/stocks/companyid-11661.cms,chennai-petroleum-corporation-ltd,11661
InterGlobe Aviation Ltd.,/interglobe-aviation-ltd/stocks/companyid-60145.cms,interglobe-aviation-ltd,60145
UPL Ltd.,/upl-ltd/stocks/companyid-6114.cms,upl-ltd,6114
Petronet LNG Ltd.,/petronet-lng-ltd/stocks/companyid-4495.cms,petronet-lng-ltd,4495
IndusInd Bank Ltd.,/indusind-bank-ltd/stocks/companyid-9196.cms,indusind-bank-ltd,9196
Sun Pharmaceutical Industries Ltd.,/sun-pharmaceutical-industries-ltd/stocks/companyid-9134.cms,sun-pharmaceutical-industries-ltd,9134
Bajaj Auto Ltd.,/bajaj-auto-ltd/stocks/companyid-21430.cms,bajaj-auto-ltd,21430
Tata Power Company Ltd.,/tata-power-company-ltd/stocks/companyid-12918.cms,tata-power-company-ltd,12918
Hero MotoCorp Ltd.,/hero-motocorp-ltd/stocks/companyid-13636.cms,hero-motocorp-ltd,13636
The New India Assurance Company Ltd.,/the-new-india-assurance-company-ltd/stocks/companyid-4285.cms,the-new-india-assurance-company-ltd,4285
REC Ltd.,/rec-ltd/stocks/companyid-4616.cms,rec-ltd,4616
HDFC Life Insurance Company Ltd.,/hdfc-life-insurance-company-ltd/stocks/companyid-3068.cms,hdfc-life-insurance-company-ltd,3068
Adani Power Ltd.,/adani-power-ltd/stocks/companyid-23479.cms,adani-power-ltd,23479
Ambuja Cements Ltd.,/ambuja-cements-ltd/stocks/companyid-13643.cms,ambuja-cements-ltd,13643
Central Bank of India,/central-bank-of-india/stocks/companyid-11944.cms,central-bank-of-india,11944
Bajaj Finance Ltd.,/bajaj-finance-ltd/stocks/companyid-11260.cms,bajaj-finance-ltd,11260
IDBI Bank Ltd.,/idbi-bank-ltd/stocks/companyid-11689.cms,idbi-bank-ltd,11689
Avenue Supermarts Ltd.,/avenue-supermarts-ltd/stocks/companyid-45987.cms,avenue-supermarts-ltd,45987
Indian Bank,/indian-bank/stocks/companyid-8614.cms,indian-bank,8614
MMTC Ltd.,/mmtc-ltd/stocks/companyid-11645.cms,mmtc-ltd,11645
Aurobindo Pharma Ltd.,/aurobindo-pharma-ltd/stocks/companyid-8279.cms,aurobindo-pharma-ltd,8279
Reliance Capital Ltd.,/reliance-capital-ltd/stocks/companyid-13189.cms,reliance-capital-ltd,13189
