,name,scdid,scid,nseId,bseId,stkname,scdid_href,stkname_href,href
0,3M India,MI42,B3M,3MINDIA,523395,3mindia,MI42,3mindia,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
1,Aarti Drugs,AD,AD,AARTIDRUGS,524348,aartidrugs,AD,aartidrugs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD
2,Aarti Ind,AI45,AI,AARTIIND,524208,aartiindustries,AI45,aartiindustries,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
3,AAVAS Financier,AF17,AF32,AAVAS,541988,aavasfinanciers,AF17,aavasfinanciers,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
4,AB Capital,ABC9,ABC07,ABCAPITAL,540691,adityabirlacapital,ABC9,adityabirlacapital,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9
5,ABB India,ABB,ABB,ABB,500002,abbindia,ABB,abbindia,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
6,Abbott India,AI51,KP,ABBOTINDIA,500488,abbottindia,AI51,abbottindia,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
7,ACC,ACC06,ACC,ACC,500410,acc,ACC06,acc,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
8,Adani Enterpris,AE13,AE01,ADANIENT,512599,adanienterprises,AE13,adanienterprises,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
9,Adani Ports,MPS,MPS,ADANIPORTS,532921,adaniportsspecialeconomiczone,MPS,adaniportsspecialeconomiczone,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
10,Adani Power,AP11,AP26,ADANIPOWER,533096,adanipower,AP11,adanipower,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
